id	tweet	subtask_a	subtask_b	subtask_c
81239	  Then maybe we can talk about the double standards between liberals and conservatives at  Somebody is always a victim.	OFF	TIN	GRP
99454	 She is so beautiful but looks like dad	NOT	NULL	NULL
66048	#QAnon  #MAGA   For those who think nothing is happening! URL	OFF	TIN	IND
98294	Rosenstein’s 300 Attorneys ‘Helped’ Vet Kavanaugh – Now Sexual Abuse Charges URL which go back to his highschool days  and can't be proven &amp; Named witness DENIES  #Pathetic #ConfirmKavanaugh #PJNET #CCOT #maga #KAG2018 #Trump2020 #NoMoreProgressiveLiberals	OFF	TIN	GRP
77789	#sorrynotsorry   If you breastfeed your child who ends up having a milk allergy and so you just SWITCH to formula are you really putting your 100% into parenting?! No you are being lazy! Change your diet go lactose and soy free so your baby can have the best of the best.	NOT	NULL	NULL
65560	 Sorry to read this. You’re doing the right thing to report it and warn us all about them. Needless to say you are none of the things they say. Stay strong.	NOT	NULL	NULL
19380	"  It is not a crisis"" . The Conservatives think everything is a crisis- the asylum seekers,  the economy, TMX  now NAFTA. Just relax guys the adults are in the room."""	NOT	NULL	NULL
98740	 Has any ex Obama administration personal not yet?  See a pattern here folks!  Their actually doing this publicly. The msm is their partner in this treason.  It’s a attempted coup d'etat!!!	OFF	UNT	NULL
79813	 Thanks for keeping us in your thought and being so kind to fans🌸❤️. Just know this cool cat is gonna drag many great thing into our fans life!	NOT	NULL	NULL
30337	 Fuck u	OFF	TIN	IND
65495	"... She is our north star, amongst the many stars that pass away to fill the night sky with brilliancy."" I cannot begin 2 imagine this as a parent but am so grateful &amp; humbled for the time however brief w/ so many shining stars who continue to guide all of us... URL"	NOT	NULL	NULL
41605	 Remember:  You're talking about the same media that never questions the assertions that everyone on the Right is a Nazi and Antifa is just a group of protesters.	NOT	NULL	NULL
79120	 Yep this is the world the liberals want to live in.	NOT	NULL	NULL
92999	AAA DIBALES DONG😘😘😘 URL	NOT	NULL	NULL
67391	 Niggaz buying pussy bitches trying to buy love...	OFF	TIN	GRP
12038	  I don't think he's guilty....this is what you leftwingers do...make up sexual assault claims about conservatives.	NOT	NULL	NULL
58241	 Yeah dangerous to question a scattered 35 year old account pushed on the eve of a nomination with the liberals saying they will stop at nothing to derail judge Kavanagh or any of Trumps picks? Delete your account...	NOT	NULL	NULL
21369	#TBT That time when  gave us a shout-out on their blog &amp; we felt like the coolest kids in town. 😎 From #NCDD.org blog: Creating a Welcoming Environment with #Conservatives with The Village Square - #ReviveCivility #ToTheVillageSquare URL	NOT	NULL	NULL
91579	 #Rimmy4Antifa  Can this young working class proletarian join your cause URL	NOT	NULL	NULL
48534	  I'm also a Prohibited Possessor thanks to Obama and his every soldier has  PTSD crazy administration.Can't get life insurance either.Still support the NRA and the work they do for gun rights.Hoping Trump will fix the wrongs of labeling veterans as a means to back-door gun control	OFF	TIN	IND
22086	 Does not suffer fools and has seen enough shit to last nine lives.	OFF	TIN	OTH
26472	 He is the eggman.	NOT	NULL	NULL
56844	            Sorry my love I know you will be disappointed maybe I'll stand in my next life time ❤	NOT	NULL	NULL
57050	 Awww his poor pocket. Try something else	NOT	NULL	NULL
86879	" GOP, Conservatives, Evangelicals, Traditionalists"" Catholics are all hypocrites."""	OFF	TIN	OTH
80462	  LMAO....YOU SUCK NFL	OFF	TIN	OTH
55281	"   Well, they'll cut out 299 pages and replace it with 1 saying everyone needs more chlorine""  C'mon are you chicken?"""	OFF	TIN	IND
93035	 Believe the woman.  What person would volunteer for the shit show she is about to experience if it weren’t true.  I stand in solidarity with Christine Blasey Ford.	OFF	TIN	IND
66585	 All communist Democrat socialists are bad humans.	OFF	TIN	GRP
38143	 Hmmm...they piss off the portion of the population that actually supported football and are shocked their numbers took a nose dive?  Shocking!	OFF	TIN	IND
31945	*Gets Period* You are the cause of my 𝓭𝔂𝓼𝓹𝓱𝓸𝓻𝓲𝓪	OFF	TIN	IND
51513	  Good grief. So this is how we calm antifa people?  Throw chicken nuggets at them?  How ridiculous are they?  I’d think it was funny if it wasn’t rewarding bad behavior.	NOT	NULL	NULL
76107	   Just because it isn't a sexy diagnosis doesn't mean it gets low quality care. You are making an incorrect assumption.	NOT	NULL	NULL
39965	                                            Keep it going let’s all remember VOTE!!! VOTE RED!! Let’s do the #MAGA for our 🇺🇸🇺🇸. 📣Yaay!! #MAGA!! 🇺🇸🇺🇸🇺🇸🗽🗽🗽💥💥💥🔥🔥🔥🌪🌪🌪🌪🌪🌪🌪🌪	NOT	NULL	NULL
13100	 Antifa took over for them.	NOT	NULL	NULL
91193	  This is why Gun Control is such a horrible idea no matter what the reasoning it it results in this kind of thing.	NOT	NULL	NULL
66398	 Thus far the only people getting shot and kicked out of places are conservatives. #MAGA #WalkAway #ConfirmKavanaugh	OFF	TIN	GRP
89774	 lol.. why don't they ever do it in the head to protest trump..  also aren't these people all for gun control?  tweet tweet.  URL	NOT	NULL	NULL
35786	 Yeah I'll not take my gun control policy advice from a Jean's company. Beyond that trumps die hard are almost enough that the snowflakes they claim to dislike and themselves are hard to tell a part	OFF	TIN	GRP
40617	  ⛏️ hmm.. closest emoji to a shovel go figure...	NOT	NULL	NULL
17573	  Let’s not discuss fault rn. If this happened he is 10000% to blame. Let’s first get reasonable amount of evidence before presuming he is guilty	NOT	NULL	NULL
10845	 Donald Trump as President	NOT	NULL	NULL
69671	             At least he is trying he is not busy tweeting hate tweets like u n your buddy aka Bishop Jonso!!	NOT	NULL	NULL
13641	#YESonKavanaugh Yes because it is the right thing to do Yes because conservatives are in power Yes because Democrats are miserable humans Yes because we are sick and tired of the tantrums from the Democrats Yes because they FREAKING LOST THE ELECTION! Please add more reasons!!!!	OFF	TIN	GRP
42447	  Why because Ford accused him of something 36 years ago and won’t testify. Liberals he’d this for months and came out now. I think liberals are the ones who took a gamble	NOT	NULL	NULL
92257	#Manitoba - #NDP leader Wab Kinew on the #carbontax URL Are you proud of yourselves  and  You allow the NDP to come at you from the right? You're all as insane as the #Trudeau #Liberals #Winnipeg #Canada #MBpoli	OFF	TIN	OTH
43196	 Hello !! You used to date Anthony Weiner !!! What does that tell us about you ?	NOT	NULL	NULL
28621	 &amp; sicking their attack dogs ( #antiFa / #resist ) and blaming the right.	NOT	NULL	NULL
26317	" HAHAHAHAHAHAHAHA!!! She may need to change her strategy. Acting like a spoiled child... throwing a tantrum and showing the world what a sore loser she is... on national television... isn't a great way to improve how anyone"" is viewed."""	OFF	TIN	IND
70481	     Oh it’s ok because 45 reversed the most important issue on mental health he got rid of the mental health conditions on gun control. Great job! What a guy! He is a liar proven over &amp; over again. But you worship away that’s your right	OFF	TIN	IND
37877	 People will get it regardless of the wall.   Kind like gun control argument.	NOT	NULL	NULL
33412	 You are hilarious and way too good to me.	NOT	NULL	NULL
61942	 A quick way to get yourself killed.  Thanks Antifa!	OFF	TIN	IND
99091	 Republicans are underestimating the fever of the liberals to get rid of Trump.	NOT	NULL	NULL
84660	this cant be legal ... Right? #KAG #MAGA URL	NOT	NULL	NULL
27631	 WAPO what an idiot comment you are a disgrace to journalism VERY SAD	OFF	TIN	IND
51449	  He is. We’ve been saying it for years. Uncle Christopher is Tristan while Aunt Carla is Bickle.	NOT	NULL	NULL
40674	 That sucks 👎	OFF	TIN	IND
57610	  Ik what other rappers think of him. But only cause he is anti-drug and honestly I think his music is good.	NOT	NULL	NULL
24531	 Happy Birthday(s)!	NOT	NULL	NULL
82680	 Funny how liberals and liberal stars hate the folks that make them and give them the very fame and power which they can’t live without	NOT	NULL	NULL
78494	 Both sides have promised wall SINCE ever y should ANYONE BELIEVE ANYTHING THEY SAY????? ?promised since 1986	OFF	TIN	IND
21564	    To be fair. I’m positive most liberals are just blobs of cells..	OFF	TIN	GRP
32067	 You aren’t a member. Butt out	NOT	NULL	NULL
21265	 I don’t think jack knows too many conservatives. I’ve never met one that didn’t want to lecture me on how everything should be “run like a business” and we should all just work harder and follow the rules.	NOT	NULL	NULL
56419	 Then it’s time to indict trump if you are pro-law.	NOT	NULL	NULL
35164	  Target environment keeps getting richer.	NOT	NULL	NULL
87824	  She is such a disgusting hypocrite!	OFF	TIN	IND
32310	  As well this would allow you to still protest. But not stop a speaker or a group. Really Hitler did this in the early time of the Nazi party a group known as the SS would beat up politicians and people that didn't agree with them. (Sounds familiar smells like Antifa.)	OFF	TIN	GRP
10698	 Don’t expect common sense from Liberals.	NOT	NULL	NULL
23094	 Nobody cares what  thinks or wants. She wasn’t elected haha. And she’s not helping her party either so stay out there your only helping the conservatives Progressives DONT LIKE YOU	NOT	NULL	NULL
70213	 I FUCKING love this!!!! so so true.  and actually it’s in those types of jobs you will learn the most	OFF	UNT	NULL
36136	 Best not stray off message. We need to be using every death to blame guns and push for gun control. Talking about actual causes distracts from that. 🙉 #gunsense	NOT	NULL	NULL
61271	    Huh! The pot grows as council grows...in this case it is a reduction...and that amount $25m is going right back to the city for police gun control...already announced!	NOT	NULL	NULL
90618	  #nope... With Mm no way...maybe is time to ask Sky what has gone wrong? Because #Foster from CNN have the book first than KP tweeted about the book...  Liberals... From Trump for Americans to Mm for British... I don't known who is worst	OFF	TIN	GRP
58120	 Oh my heart! She is beautiful. MUCH more beautiful than the immersion blender.	NOT	NULL	NULL
15174	A new bill aims to send masked Antifa activists to jail for 15 years  URL	NOT	NULL	NULL
41958	 It’s so sad where we are in America now Liberals should be against this kind of McCarthyism  All u have to do us accuse Yet there was a Chinese spy in a dem office for 20 years n the media just shrugs	NOT	NULL	NULL
40368	President Trump is fighting for the American worker and American Jobs! #MAGA URL	NOT	NULL	NULL
75263	  It’s laughable that you parade China with its shocking human rights record. In China extreme Gun Control only meant death for millions of Chinese citizens at the hands of the state ... The History is well known.	NOT	NULL	NULL
94345	" how does what I'm saying relate to gun control. if police departments will not prosecute their own family"" then it's time to limit their access to all weapons. A police department reluctant to acknowledge their own wrong doings and correct them dont deserve access to weapons."""	OFF	TIN	OTH
90077	  Don’t ever stop lil ma *COUGH* “eddandflow” *COUGH* oh shit is that my Snapchat how’d that slip out?!  ...add me 🙏🏼😩	OFF	UNT	NULL
56898	  Did Chuck think Juanita Broderick credible-Keith Ellison’s girlfriend domestic abuse credible? The truth is Chuck is a sh*t stirrer for a cause. In this case- ruin a mans impeccable career-embarrass his wife &amp; daughters-all in a sleazy days work. Y?Liberals destroy what dont like	NOT	NULL	NULL
77180	 all you want is gun control while you let corporations rip us Americans off you don’t stand up against cops assassinating unarmed black Americans cops are enemies of Americans that’s why their against  because they want to kill blacks in America thanks 	OFF	TIN	GRP
34565	1. Killshot 2. Gun control 3. Rap devil	NOT	NULL	NULL
76105	 Hollywood’s finest.	NOT	NULL	NULL
93281	"#MondayMotivation Liberals backing Kavanaugh Accuser"" high school episode to attack #SCOTUSpick - but praised #Adultery superstar #McCain - logic much? #MAGA #LiberalismIsAMentalDisorder URL"	NOT	NULL	NULL
93028	 Epic fail	NOT	NULL	NULL
20579	                                          Antifa would put nails in the pillows so I dont recommend it	NOT	NULL	NULL
36709	 I hope she stays safe and she is a brave soul. I'm on the coast of NC and will be staying put for now. I am scared but I can't leave without my hubs. He has to stay and man the prison he works for.	NOT	NULL	NULL
63408	A bitch is complaining to corporate about me in our lobby lmaooo	OFF	TIN	IND
99383	 I saw some shit today that made me want to @ her and politely ask her if I could be her stylist.... because I'm not here for these early 2000 bangle bracelets and unnecessary accessories like who's responsible? I have a few words. URL	OFF	TIN	IND
35359	 yyyy fuck no bitch we decided we both was gone steepppp	OFF	TIN	IND
32776	#Liberals grasp at unproven straws ... #NotPlastic URL	OFF	TIN	GRP
69948	"  So  is a BJP leaning intellectual"" but so called liberals are not Congress leaning ""intellectual"" and you are definitely not Congress karyakarta...."""	NOT	NULL	NULL
17348	 You said your complains for Fox News is nothing like Trump’s war against news media. You are right. Trump didn’t use “Espionage act of 1917” to spy reporters he doesn’t like. Yours is much worse and scary!!	NOT	NULL	NULL
83724	  So only people that own firearms are allowed to comment on the Gun Control Debate??!! 😁	NOT	NULL	NULL
70434	 Funny Human Rights He is  Pro Abortion That settles it He lies pacified deceives Playboy	OFF	TIN	IND
47123	"#DEMOCRACY Civil Disobedience is Paramount"" #DumpFord #Dictatorship #CONservatives #Liars #Fascists #ONpoli #TOpoli It’s time for Ontario’s other municipalities to stand up for local democracy  URL via "	NOT	NULL	NULL
58915	 Christina would have been a better choice than Courtney . Hadwin has done this and is not as much of an amateur that she is making America believe	NOT	NULL	NULL
51128	       is clearly racist and anti senior citizen. How do you allow this? Conservatives will never take you seriously if you don't start being fair.	OFF	TIN	OTH
63874	  I mean he is worth it	NOT	NULL	NULL
40265	*a shooting happens in a country with gun control laws for the first time in literally decades*  Y'all: BUT THE GUN LAWS SHOULD'VE PREVENTED THIS UNGA BUNGA THIS IS WHY GUN CONTROL SUCKS BET YOU DUMMIES WISH YOU HAD GUNS  *meanwhile another school shooting happens in America*	NOT	NULL	NULL
67744	  He is.	NOT	NULL	NULL
77193	  Follow along..  Conservatives paid Fusion  Fusion paid Orbis (Steele's company).  It's not that hard.. seriously	NOT	NULL	NULL
54759	 Antifa isn’t after her.	NOT	NULL	NULL
90331	  It matters less than swaying the political slant of the SCOTUS by both parties. That’s a fact. This is only important to lib’s and conservatives as to the Court makeup.	NOT	NULL	NULL
35544	" It's up there with the bumper sticker liberals"", just more expensive."""	NOT	NULL	NULL
19435	 Damn he fell victim to a little thing called TOS much like the ones on his own site URL URL	OFF	UNT	NULL
84894	  If Kavanaugh is confirmed there will be two sexual deviants sitting on the Supreme Court. Both Conservatives and nominated by Republicans. Democrats put women on the SCOTUS and Republicans put perverted men there. FOR THEIR LIFETIME! #StopKavanaugh #StopTrump #SaveSCOTUS	OFF	TIN	GRP
45521	  Liberals have no shame. To them the outcome justifies the mean	OFF	TIN	GRP
81754	   Tippi Hedren was in Julie and Jack (which rifftrax also did). The scene from Birdemic that she is credited for was from that movie playing on the tv in the hotel.	NOT	NULL	NULL
87501	 Coming from a guy who worries more about straws than cleaning up failed 'shitty' policies..now he knows best..lol	OFF	TIN	IND
78424	 I hope they were Reporting on Gun Control	NOT	NULL	NULL
71984	  Popular side doesn’t equal winning side. Facts are that private schools do a much better job educating students than public schools. Public school teachers get unfair perks that they don’t deserve. It’s unfair to private school teachers.	OFF	TIN	GRP
43321	 Jeff Flake looks like he is flaking out on the confirmation.	NOT	NULL	NULL
99643	 How fucking sad 😣	OFF	TIN	OTH
12272	 Bull...she is probably in debt and Soros is paying her...you're never afraid if this happened...give us a break..	NOT	NULL	NULL
63350	 I suppose you think the way liberals attacked Sarah Palin was courageous also. You’re just another hypocrite.	OFF	TIN	IND
39443	  Ilegal Invader Kills 13-Year-Old Canadian Girl	NOT	NULL	NULL
68565	 20 million dollars from cbs to #metoo can buy a lot of lies from a lot of professional witnesses with a lot of axes to grind.  Antifa is fully financed by BLM millions they collected from Obama’s Justice dept and look at the antiamerican havoc they create. #metoo is warming up.	NOT	NULL	NULL
99745	  WTF was that other than a waste of a minute and change of my life	NOT	NULL	NULL
56164	 CATFIGHT!!!   MEOW	NOT	NULL	NULL
74160	  I much prefer the latter option.	NOT	NULL	NULL
62679	 you are not alone/ I am here with you🎶 😅	NOT	NULL	NULL
93734	 Bill I do not consider Democrats as Americans. Our Constitution does not mean anything to them. Most of them are uncultured uneducated and violent like Antifa. Some have already declared Judge Kavanaugh Guilty of Rape.	NOT	NULL	NULL
23956	 Eject him from the Senate. What rule will he break next time. If you can’t follow rules you shouldn’t be a Senator.	NOT	NULL	NULL
63696	  I want to adopt this dog.  He/She is so precious😘	NOT	NULL	NULL
97846	  All great American Patriots are the dregs of society in the warped and delusional perspective of Joe Blow Biden. He is a disgrace to America.	OFF	TIN	IND
74245	 What a joke.  Another dirty tricks Democrat on the George Soros payroll.  The Democrat Party knows no shame.  #MAGA	OFF	TIN	GRP
62559	 she is 😩	NOT	NULL	NULL
30353	 You are very welcome Gordon and Shirley 🥀🐍🌹🐍🥀🐍🌹xxx	NOT	NULL	NULL
31126	 Clearly as long as she is safe no one else matters lol 😂😂😂	NOT	NULL	NULL
92619	 Always looking for faults and forgetting to look at the whole picture.  Journalism (objective reporting) is dead as now everyone is a pundit (subjective expert).	NOT	NULL	NULL
16278	 what the actual fuck..ill report them this is so fucked up	OFF	TIN	IND
16251	 He should leak that shit anyways lol	OFF	TIN	IND
64189	-____-  No other 1st world country has bullshit like this because they don't have BULLSHIT problems like this  Fuck the gun industry and fuck the dipshits enabling them preventing sensible gun control  URL	OFF	TIN	GRP
10755	 You are right Joe. I can do an interview with Fox when I get back from Iowa.	NOT	NULL	NULL
68461	  Itne me too liberals ko BURNOL khana padega....	NOT	NULL	NULL
27318	  We need gun control! Lol	NOT	NULL	NULL
78407	                  Following #maga	NOT	NULL	NULL
33186	 She is absolutely adorable what a good mommy you take good care of her.💞	NOT	NULL	NULL
61788	"    Yes, you are right: not only lefties but (neo) liberals having any trouble. This papers have proper journalistic ethics"" - it's funny 😆😆😆; and  Magyar Nemzet or Népszabadság had ""highest circulation"" - it's also funny /only in the communistic past (before 1989)/ 😆😆😆! URL"	OFF	TIN	GRP
71811	  Tip. He is no franchise QB.	NOT	NULL	NULL
95262	 Great Gun Control! Takes Concentration and Steady Hand! Way to Go Girl! URL	OFF	TIN	IND
80439	 Disgusting!  That tells you more than anything that we need law n order and that's conservatives n Kavanaugh!	OFF	UNT	NULL
83465	  So... what did The Big O accomplish on gun control in his 8 year disaster??	NOT	NULL	NULL
80298	  Anyone besides me think he is angling for Sessions job saw today statement made only sitting Senator would be approved as replacement otherwise Senators wouldn't stab Session in back well not sure how it makes a difference but LG may be angling then send Mueller packing	NOT	NULL	NULL
70706	"  Aurora is growing and learning stuff quickly! She is really good at drawing and counting! Such a intelligent baby ~ ""  He laughts playfully at kiss being breaked. Pecks his nose."""	NOT	NULL	NULL
73146	 He is so underrated and I love how pure he is as a person	NOT	NULL	NULL
13613	  Or he raised a hand. SMH	NOT	NULL	NULL
89043	-You would never guess that this employee plays Covet (a fashion game) on her iPad in her free time. 📱 -She has a strange phobia of dogs.🐕 -She is amazingly weird! She can jump over her foot while it is in... URL	OFF	TIN	IND
13324	 Go back to Canada you freak.	OFF	TIN	IND
25808	          yep bc not agreeing with forcing adult memes and choices on individuals not developed enough to comprehend them means I am homophobic	OFF	TIN	GRP
74843	Americans are smarter than you think.  #MAGA  #VoteRed2018 #RedWaveRising2018 #SaveOurCountry #VoteDemsOut URL	NOT	NULL	NULL
80698	 He just doesn’t fit the team now. Agholor should stay in the slot because that’s where he is successful. JMatt is not an outside threat.	OFF	TIN	IND
32103	 Nike lost $3.75 billion after kaepernick was named face of “just do it” bullshit.	OFF	TIN	OTH
34685	. has proved to us a second time she is undeniably a force to be reckoned with in the industry with the release of #LOTWVideo. Check it out here; URL	NOT	NULL	NULL
82977	  I stand corrected! Guess the only memorable thing about her to me is how hateful she is lmfao.	NOT	NULL	NULL
52798	 Google go to hell!	OFF	TIN	OTH
89052	   Its her job to do that he is not her pr guy.	NOT	NULL	NULL
98649	 She is better than everyone at everything because she is a literal angel who can do no wrong	NOT	NULL	NULL
40000	 Unless you live in Sweden the Gang Rape capital of the world. Where 1 million migrants were welcomed with open arms. Not vetted thanks to the liberals in power .	NOT	NULL	NULL
96330	  then you are not equipped to adopt. period	NOT	NULL	NULL
14809	 woman accusing Supreme Court nominee #Kavanaugh of physical and sexual assault should not be ignored or insulted,WhiteHouse senior counselor  says:BECAUSE A RAPIST &amp;ATEMPTED MURDERER Can’t GO FREE Because He Was 17yrs ,DRUNK &amp; WANTED IT❗️#tcot #pjnet #maga URL	NOT	NULL	NULL
21629	   Chicago has been ran by Democrats for decades.  Why is it up to the GOP to solve the problems they created to begin with?  Act is absolutely code for gun control and that's not happening nor would it help anyway.  You need 1000 detectives.  Start hiring.	OFF	UNT	NULL
52832	I think Judge Kavanaugh will be voted through next week after Mondays hearing unfortunately for him his reputation has tarnished by these vicious lies MAGA WWGIWGA URL	NOT	NULL	NULL
59620	  You are welcome Casey.	NOT	NULL	NULL
32717	" If only he were the craziest MF out there. Sadly, he is NOT. There are far worse examples of good Christians."""""	OFF	TIN	IND
21286	 So innocent until PROVEN guilty only applies to liberals?????	NOT	NULL	NULL
78117	   I am in an interracial marriage you liberals throw that word around so easily you might want to look it up and see what it means URL	NOT	NULL	NULL
13486	   What was the average wage to average house price when Thatcher was in charge? That ratio is the fundamental reason. Build as many as you like but if they are not genuinely affordable you're just wasting resources.	NOT	NULL	NULL
90268	 Bruh ita gonna be ok  You will have to go it without your parents being there 24/7 which can be hella scary. But you are more ready than you think.  Its gonna be more fun than you could bet	NOT	NULL	NULL
39342	 LMFAOOO baby you just as young as she is😭😭😭	NOT	NULL	NULL
81788	 It’s fine. The liberals made sure that we use as much carbon as possible to make electricity.	NOT	NULL	NULL
38889	 She is she blocked me URL	NOT	NULL	NULL
92319	 He is not working for Texas he is paid by the Soros cartel. Not fond of Cruz but Beto is a dangerous person! Just another DNC sheeple!	OFF	TIN	IND
59657	 I want to kiss your ass.	OFF	TIN	IND
28193	 A person’s stance on gun control is a telling statement on if they believe in the rights of the individual.  Might as well stamp “Statist” on their forehead.  Please vote accordingly.	NOT	NULL	NULL
83274	 Beto also wants open borders so illegals can come an go as they please an also more gun control espically on semiautomatic weapons...#BetoNotForTexas	OFF	TIN	GRP
64355	 Doesn't Canada need it's comedians back.	NOT	NULL	NULL
42234	     There is absolutely no point in debating a liberal. Your party has swung so far left and have nothing but hate... All rationale has fleeted your side. Trump could create world peace and a utopian society and liberals would still resist for no other reason than your hatred.	OFF	TIN	GRP
84391	  You do know antifa is far left republicans are peaceful we just only use violence to protect ourselves from antifa.	NOT	NULL	NULL
36226	  F Hope! Since he’s ‘NOT smarter than a 5th grader’ maybe she is!	OFF	TIN	IND
91015	   It is metallic color. Tomorrow I go to get it😇 It was my birthday gift😂	NOT	NULL	NULL
49622	100% agree with Trump on this.  Surprised to see so many liberals talk about how cute he was sneaking candy at a war criminal's funeral. URL	OFF	TIN	IND
82485	 Good thing California has all those gun control laws ?!?! 😂😂😂👌	NOT	NULL	NULL
54050	"#joebiden calls Trump supporters dregs of society. #biden organized a coup in #ukraine. His son steals $B from ukrainian people as they leave their country in search of jobs.  #maga #potus   #zog"""	OFF	TIN	IND
97098	 He needs to lose some weight	NOT	NULL	NULL
34017	 Destroying me???? Excuse me I beat you all the time why you bullshitting that?? Also I love you more 😤	OFF	TIN	IND
31233	 you are the only motherfucker with common sense on this website	NOT	NULL	NULL
83754	 For what??? Lies and rumors being spread by liberals with their known pattern? Hell NO.	OFF	TIN	GRP
31196	 Shes so old that shes been pushing gun control since the Lincoln assassination.	OFF	TIN	IND
59480	 Blue Jamie Lee!! We won't miss ya....	NOT	NULL	NULL
23082	 Corrupt period...😆😆😆👊🏽👊🏽last week u liberals were saying he won’t release bc he has something to hide 😆😆😆😆😆 o boy u pple those pple  that depend on an actor for info Wow! U pple scare me is it green today or is it yellow 😂⁉️	NOT	NULL	NULL
85220	 Grew up listening to K.I.D.S shit breaks my heart RIP	OFF	TIN	OTH
15817	 Delusional idiot and the traitor!	OFF	TIN	IND
89408	 happy birthday dad ily thanks for being the best man you can be and for caring for all of us. we love you and appreciate all that you are and all that you do 🐨🐻	NOT	NULL	NULL
39819	 Reminder: It's in Trump's best interests to have that SCOTUS seat empty during the mid terms and even the next election. It's his only trump card _against challenges from his own party/conservatives_ these days.	NOT	NULL	NULL
60311	  Oh she is doing that all by herself	NOT	NULL	NULL
59397	   You mean like the Democrats do to push their gun control agenda?	NOT	NULL	NULL
48118	   Not if it's unwanted by the mother. Then the left flushes it down the toilet and goes to an ANTIFA rally to celebrate.	OFF	TIN	GRP
15406	 jimin-ssi i hope you know you are an angel. i love you so much. you are always amazing	NOT	NULL	NULL
84077	 Ur head bout big as shit	OFF	TIN	IND
79283	"  That solidarity with Israel"" banner photo of ""Antideutsch"" infiltrators was originally used in an online mag Bunker which has connections to fashy pro-Žižek types from the 8chan /leftypol/ board. It's a go-to image for the ""anti-antifa"" crowd. Archived: URL"	NOT	NULL	NULL
82016	" They've morphed into Antifa. Antifa gets better coverage and that all important Soros cash! ie: I'm so upset about you know racist stuff and Trump and children in cages and everything the like that, ya know?"""""	NOT	NULL	NULL
84770	   Complete and utter waste of time. Liberals	OFF	TIN	GRP
95295	...and what plan might that be?  The discredited Chequers Plan or crash out without a plan? URL	NOT	NULL	NULL
48370	 Blame Trump for the weather and the corruption that existed for decades in PR. What an ass typical democratic	OFF	TIN	IND
78792	"    and no one is attacking Trump supporters at large""  Ever heard of Antifa?  I thought you were leaving long ago anyway?  Why are you still wasting my time?"""	NOT	NULL	NULL
14672	  Cats are the Antifa of the animal world	NOT	NULL	NULL
66991	   Do yourself a favor and watch this  There is still time for you to spit that kool aid out and pay attention to what is happening. You right leaning conservatives are so brainwashed it is sickening.	NOT	NULL	NULL
93179	 He's quite beautiful for what he is	NOT	NULL	NULL
48479	  That nigga snitched and added spice on top of his snitching	OFF	TIN	IND
44822	"  ATTENTION.  is publicizing the names of Trump supporters on his Twitter Account on Lists"". Some names are high profile and some are just random Trump supporters.  The list is a ANTIFA TARGET LIST. Please help report him. Twitter needs to SUSPEND HIS ACCOUNT.,"""	NOT	NULL	NULL
14772	"  Unfortunately, the report is riddled with errors.  It fabricates connections between influencers that simply don't exist, and categorizes liberals as far-right"" if they even openly debate conservatives: URL"	NOT	NULL	NULL
22130	  Far right bastards. They are literally everywhere. Luckily we have far left extremists like Antifa and Jeremy Corbyn's supporters to act as a counter balance. URL	OFF	TIN	GRP
80604	  Liberals believe in the Constitution.   It's just ultra leftists that don't	NOT	NULL	NULL
78914	  Well if she truly thought he was an intruder in her home I would suppose she would revert to her police training.  What sickens me is all the media hype that she is going to get off strictly because she is white and he is black.  Horrible all the way around.	NOT	NULL	NULL
40746	    Ben is a terrible person that probably raped some people.  He is a vial human being in my book.    Has nothing to do with his on the field play.  I don’t like him personally.	OFF	TIN	IND
33232	 An idiot.  Where the fuck do they get these people?	OFF	TIN	IND
58585	 honestly ya when i talk about my opinions on gun control ppl are taken aback. 😂	NOT	NULL	NULL
19746	 Indie: (noun) a place where people as talented as you are working just as hard as you to get to the spot you're at.   Opportunity doesn't knock for everybody.	NOT	NULL	NULL
87017	 Breitbart is dead	NOT	NULL	NULL
60348	 Won't be legalized federally since it can be used as back door gun control.	NOT	NULL	NULL
33670	 Start by not tweeting pussy ass shit	OFF	TIN	IND
69506	ASMR EEL SUSHI SALMON SUSHI (EATING SOUNDS) *BIG BITES No Talking | YAYA ASMR URL	NOT	NULL	NULL
25199	  Ya and it looks like he is in a lit of the same MMA accounts as we have. Weird.	NOT	NULL	NULL
46033	 I AM SO WEAK SHE REALLY BEAT HER ASS	OFF	TIN	IND
61968	     Thanks DBC! Love reading your books! I’ve heard that #51 is pretty epic too - looking forward to *finally* getting to read it soon!!!	NOT	NULL	NULL
76470	 He is why I stopped watching football	NOT	NULL	NULL
25820	🛑 Ntknetwork News 🛑 👉 'RNC Has Raised Over $250 Million for the 2018 Midterms' #MAGA￼🇺🇸#2A #Prolife URL	NOT	NULL	NULL
12633	         You can't help it because you are AMAZING!	NOT	NULL	NULL
77845	 ...her background is being kept under wraps...chance she is a rabid MAGA...as most cops are! Law enforcement entities are attempting to keep quite those who are in trouble and who are MAGA's...	OFF	UNT	NULL
40324	 Bird ass URL	OFF	TIN	IND
58462	I did not know this.  Great job #california !  #MAGA URL	NOT	NULL	NULL
54691	  I would name my dogs breed but I have no fucking clue what he is	OFF	TIN	IND
23182	" Liberals don't care anymore about democracy"". They will burn the country before let trump to govern two more years. Remember that the objective was to throw trump out of power within the first six months."""	NOT	NULL	NULL
